Categoria|Distância (m)|RSSI (dBm) media|RSSI (dBm) minimo|RSSI (dBm) maximo
nao realistico|275.0|-85.4190647539|-85.4190647539|-85.4190647539
nao realistico|276.0|-85.478335827|-85.478335827|-85.478335827
nao realistico|277.0|-85.5373925458|-85.5373925458|-85.5373925458
nao realistico|278.0|-85.5962364552|-85.5962364552|-85.5962364552
nao realistico|279.0|-85.6548690832|-85.6548690832|-85.6548690832
nao realistico|280.0|-85.71329194160002|-85.71329194160002|-85.71329194160002
nao realistico|281.0|-85.7715065262|-85.7715065262|-85.7715065262
nao realistico|282.0|-85.8295143164|-85.8295143164|-85.8295143164
nao realistico|283.0|-85.8873167763|-85.8873167763|-85.8873167763
nao realistico|284.0|-85.94491535439998|-85.94491535439998|-85.94491535439998
nao realistico|285.0|-86.0023114838|-86.0023114838|-86.0023114838
nao realistico|286.0|-86.0595065827|-86.0595065827|-86.0595065827
nao realistico|287.0|-86.1165020544|-86.1165020544|-86.1165020544
nao realistico|288.0|-86.1732992874|-86.1732992874|-86.1732992874
nao realistico|289.0|-86.2298996561|-86.2298996561|-86.2298996561
nao realistico|290.0|-86.2863045203|-86.2863045203|-86.2863045203
nao realistico|291.0|-86.342515226|-86.342515226|-86.342515226
nao realistico|292.0|-86.3985331053|-86.3985331053|-86.3985331053
nao realistico|293.0|-86.4543594765|-86.4543594765|-86.4543594765
nao realistico|294.0|-86.5099956446|-86.5099956446|-86.5099956446
nao realistico|295.0|-86.5654429013|-86.5654429013|-86.5654429013
nao realistico|296.0|-86.620702525|-86.620702525|-86.620702525
nao realistico|297.0|-86.6757757815|-86.6757757815|-86.6757757815
nao realistico|298.0|-86.7306639234|-86.7306639234|-86.7306639234
nao realistico|299.0|-86.785368191|-86.785368191|-86.785368191
nao realistico|300.0|-86.8398898122|-86.8398898122|-86.8398898122
nao realistico|301.0|-86.8942300025|-86.8942300025|-86.8942300025
nao realistico|302.0|-86.94838996539998|-86.94838996539998|-86.94838996539998
nao realistico|303.0|-87.0023708924|-87.0023708924|-87.0023708924
nao realistico|304.0|-87.0561739633|-87.0561739633|-87.0561739633
nao realistico|305.0|-87.1098003462|-87.1098003462|-87.1098003462
nao realistico|306.0|-87.1632511978|-87.1632511978|-87.1632511978
nao realistico|307.0|-87.2165276634|-87.2165276634|-87.2165276634
nao realistico|308.0|-87.2696308771|-87.2696308771|-87.2696308771
nao realistico|309.0|-87.3225619622|-87.3225619622|-87.3225619622
nao realistico|310.0|-87.3753220309|-87.3753220309|-87.3753220309
nao realistico|311.0|-87.4279121846|-87.4279121846|-87.4279121846
