Categoria|Distância(m)|PDR médio da aplicação(%)|PDR mínimo da aplicação(%)|PDR máximo da aplicação(%)|PDR médio da interface(%)|PDR mínimo da interface(%)|PDR máximo da interface(%)|RSSI médio(dBm)|RSSI mínimo(dBm)|RSSI máximo(dBm)|Atraso médio da aplicação(s)|Atraso mínimo da aplicação(s)|Atraso máximo da aplicação(s)|Atraso médio da interface(s)|Atraso mínimo da interface(s)|Atraso máximo da interface(s)
sem sombreamento e sem obstáculo|90.0|69.0|69.0|69.0|100.0|100.0|100.0|-92.7003917672981|-93.2029772644225|-92.1978062701737|3.357514449759983|3.357514449759983|3.357514449759983|0.08729630400004047|0.08729630400004047|0.08729630400004047
sem sombreamento e sem obstáculo|91.0|69.0|69.0|69.0|100.0|100.0|100.0|-92.8220646998694|-93.32465019699434|-92.31947920274446|3.473770451829987|3.473770451829987|3.473770451829987|0.08729630700005489|0.08729630700005489|0.08729630700005489
sem sombreamento e sem obstáculo|92.0|69.0|69.0|69.0|100.0|100.0|100.0|-92.9424673290087|-93.44505282613035|-92.43988183188704|3.290026453899991|3.290026453899991|3.290026453899991|0.08729630999996384|0.08729630999996384|0.08729630999996384
sem sombreamento e sem obstáculo|93.0|68.0|68.0|68.0|100.0|100.0|100.0|-93.88681911543186|-94.38212076477184|-93.39151746609188|3.3659534935200646|3.3659534935200646|3.3659534935200646|0.08729631399996031|0.08729631399996031|0.08729631399996031
sem sombreamento e sem obstáculo|94.0|69.0|69.0|69.0|100.0|100.0|100.0|-93.1795634262842|-93.6821489234082|-92.6769779291602|3.439114458730037|3.439114458730037|3.439114458730037|0.08729631700006776|0.08729631700006776|0.08729631700006776
sem sombreamento e sem obstáculo|95.0|69.0|69.0|69.0|100.0|100.0|100.0|-93.2963059283918|-93.79889142551491|-92.7937204312687|3.375370460799968|3.375370460799968|3.375370460799968|0.08729631999997672|0.08729631999997672|0.08729631999997672
sem sombreamento e sem obstáculo|96.0|68.0|68.0|68.0|100.0|100.0|100.0|-94.23199398519759|-94.72729563453696|-93.73669233585822|3.288321500320017|3.288321500320017|3.288321500320017|0.08729632400001505|0.08729632400001505|0.08729632400001505
sem sombreamento e sem obstáculo|97.0|69.0|69.0|69.0|100.0|100.0|100.0|-93.5262971871613|-94.02888268428255|-93.02371169004006|3.4044584656299413|3.4044584656299413|3.4044584656299413|0.08729632699997518|0.08729632699997518|0.08729632699997518
sem sombreamento e sem obstáculo|98.0|69.0|69.0|69.0|100.0|100.0|100.0|-93.6395908949381|-94.1421763920625|-93.1370053978137|3.4607144677000177|3.4607144677000177|3.4607144677000177|0.0872963299999896|0.0872963299999896|0.0872963299999896
sem sombreamento e sem obstáculo|99.0|69.0|69.0|69.0|100.0|100.0|100.0|-93.7517789073941|-94.2543644045185|-93.2491934102697|3.276970469770022|3.276970469770022|3.276970469770022|0.08729633300010944|0.08729633300010944|0.08729633300010944
sem sombreamento e sem obstáculo|100.0|68.0|68.0|68.0|100.0|100.0|100.0|-94.67646357948387|-95.17176522882384|-94.18116193014389|3.3635215091599093|3.3635215091599093|3.3635215091599093|0.08729633699979734|0.08729633699979734|0.08729633699979734
sem sombreamento e sem obstáculo|101.0|69.0|69.0|69.0|100.0|100.0|100.0|-93.9729210183089|-94.47550651543082|-93.47033552118697|3.426058474599995|3.426058474599995|3.426058474599995|0.08729634000000247|0.08729634000000247|0.08729634000000247
sem sombreamento e sem obstáculo|102.0|69.0|69.0|69.0|100.0|100.0|100.0|-94.08191528302241|-94.584500780146|-93.57932978589882|3.302314476669999|3.302314476669999|3.302314476669999|0.08729634299991143|0.08729634299991143|0.08729634299991143
